gene_identifier,gene_symbol
ENSMUSG00000026228,Htr2b
ENSMUSG00000050534,Htr5b
ENSMUSG00000070687,Htr1d
ENSMUSG00000028747,Htr6
ENSMUSG00000039106,Htr5a
ENSMUSG00000032269,Htr3a
ENSMUSG00000008590,Htr3b
ENSMUSG00000049511,Htr1b
ENSMUSG00000021721,Htr1a
ENSMUSG00000034997,Htr2a
ENSMUSG00000050783,Htr1f
ENSMUSG00000026322,Htr4
ENSMUSG00000024798,Htr7
ENSMUSG00000041380,Htr2c
